path,slug,titulo,lines,exercicios,exemplos,portas,with_fonte,with_solucao,with_opcoes,passos,pct_passos,aplicacao,compreensao,modelagem,desafio,demonstracao,has_audio,has_fontes_section,books_header,n_flags,flags
content/aulas/ano-2/trim-8/licao-77-tcl.mdx,"""licao-77-tcl""","""Lição 77 — Teorema Central do Limite""",899,42,5,7,42,42,42,8,0.19,23,5,12,0,2,True,True,3,1,MIX-OFF-desafio(0%)
content/aulas/ano-2/trim-8/licao-78-correlacao.mdx,"""licao-78-correlacao""","""Lição 78 — Correlação e regressão linear simples""",928,42,5,7,42,42,42,8,0.19,22,10,5,3,2,True,True,3,0,
content/aulas/ano-2/trim-8/licao-79-bayes-aprofundado.mdx,"""licao-79-bayes-aprofundado""","""Lição 79 — Teorema de Bayes aprofundado""",923,40,5,7,40,40,3,4,0.1,18,4,10,5,3,True,True,2,1,MISSING-OPCOES(3/40)
content/aulas/ano-2/trim-8/licao-80-consolidacao-trim-8.mdx,"""licao-80-consolidacao-trim-8""","""Lição 80 — Consolidação Trim 8 — Estatística e probabilidade aplicada""",946,39,5,7,39,39,3,4,0.1,13,4,13,5,4,True,False,3,2,MISSING-OPCOES(3/39)|NO-FONTES-SECTION
content/aulas/ano-3/trim-9/licao-81-antiderivada.mdx,"""licao-81-antiderivada""","""Lição 81 — Antiderivada e integral indefinida""",1172,45,5,7,45,45,45,8,0.18,31,5,5,3,1,True,True,3,0,
content/aulas/ano-3/trim-9/licao-82-integral-definida.mdx,"""licao-82-integral-definida""","""Lição 82 — Integral definida e área orientada""",1019,35,5,7,35,35,35,9,0.26,21,5,4,4,1,True,True,3,0,
content/aulas/ano-3/trim-9/licao-83-tfc.mdx,"""licao-83-tfc""","""Lição 83 — Teorema Fundamental do Cálculo""",1109,45,5,7,45,45,45,5,0.11,26,7,4,6,2,True,True,3,0,
content/aulas/ano-3/trim-9/licao-84-substituicao.mdx,"""licao-84-substituicao""","""Lição 84 — Técnica: substituição (u-substitution)""",1101,45,5,7,45,45,45,4,0.09,32,4,4,4,1,True,True,3,1,FEW-PASSOS(4/~11)
content/aulas/ano-3/trim-9/licao-85-por-partes.mdx,"""licao-85-por-partes""","""Lição 85 — Integração por partes""",1206,45,5,7,45,45,45,6,0.13,30,4,4,6,1,True,True,3,0,
content/aulas/ano-3/trim-9/licao-86-fracoes-parciais.mdx,"""licao-86-fracoes-parciais""","""Lição 86 — Integrais de funções racionais (frações parciais)""",1128,45,5,7,45,45,45,5,0.11,32,4,2,6,1,True,True,3,0,
content/aulas/ano-3/trim-9/licao-87-integrais-trig.mdx,"""licao-87-integrais-trig""","""Lição 87 — Integrais trigonométricas e substituição trigonométrica""",1129,45,5,7,45,45,45,3,0.07,33,4,2,5,1,True,True,3,1,FEW-PASSOS(3/~11)
content/aulas/ano-3/trim-9/licao-88-area-curvas.mdx,"""licao-88-area-curvas""","""Lição 88 — Área entre curvas""",1132,45,5,7,45,45,45,4,0.09,31,3,4,6,1,True,True,3,1,FEW-PASSOS(4/~11)
content/aulas/ano-3/trim-9/licao-89-volume.mdx,"""licao-89-volume""","""Lição 89 — Volume por fatiamento: discos, anéis e cascas cilíndricas""",1184,45,5,7,45,45,45,3,0.07,31,3,3,7,1,True,True,3,1,FEW-PASSOS(3/~11)
content/aulas/ano-3/trim-9/licao-90-consolidacao-trim-9.mdx,"""licao-90-consolidacao-trim-9""","""Lição 90 — Consolidação Trim 9 (cálculo integral)""",1223,45,5,7,45,45,45,2,0.04,33,5,2,4,1,True,True,3,1,FEW-PASSOS(2/~11)
content/aulas/ano-3/trim-10/licao-91-edo-intro.mdx,"""licao-91-edo-intro""","""Lição 91 — Introdução às Equações Diferenciais Ordinárias""",1174,45,5,7,45,45,45,2,0.04,27,9,5,3,1,True,True,3,1,FEW-PASSOS(2/~11)
